CDSEXE,MTREV,NBENF,CDSITFAM,CDTMT,CDMOTDEM,CDCATCL,AGEAD
2,0,0,M,2,,10,29
3,1524,0,M,2,,10,29
2,0,0,A,0,DC,21,39
2,1722,0,G,2,,10,35
3,0,0,D,2,,10,34
3,0,0,A,0,,10,37
2,0,0,B,0,DV,21,39
4,4300,0,C,2,,10,30
3,0,0,A,0,DV,21,38
3,1903,0,G,2,,10,36
2,0,3,M,2,,10,27
3,0,0,M,0,DV,21,44
3,0,0,A,0,,10,26
2,0,0,A,0,,10,36
3,0,2,M,2,,10,24
4,0,0,C,2,,10,29
3,1738,1,M,2,,10,27
4,0,0,C,2,,10,29
2,0,0,A,0,,10,45
2,4153,1,M,2,,10,29
2,0,0,A,0,DC,10,31
2,0,0,M,0,DC,10,37
2,2145,1,M,2,,10,38
3,0,0,M,2,,10,30
2,0,0,A,0,,10,38
2,0,0,M,2,,10,27
3,0,0,A,0,,10,35
3,0,0,M,2,,10,34
3,0,0,A,0,,10,31
2,1935,1,C,2,,10,35
2,1560,1,M,2,,10,21
2,2506,2,M,2,,10,23
2,2379,2,M,2,,10,31
4,2653,0,C,2,,10,24
3,0,0,A,0,,10,34
3,1829,0,B,2,,10,43
2,0,0,M,2,,10,19
3,0,0,D,2,,10,40
3,1911,2,M,2,,10,31
3,0,0,A,0,,10,58
3,0,0,A,0,,10,47
2,2280,0,M,2,,10,37
3,2462,2,E,2,,10,24
2,0,0,M,2,,10,38
2,0,0,V,2,,10,39
2,0,0,M,2,,10,33
3,1691,0,A,0,,10,33
3,1715,0,M,2,,10,36
2,1870,1,M,2,,10,26
3,0,0,M,2,,10,27
2,1946,0,M,0,,10,26
3,0,0,M,0,,10,59
2,0,0,M,2,,10,33
2,0,0,M,0,DV,21,39
2,2300,0,C,2,,10,23
2,0,0,A,0,,10,43
2,0,0,A,2,DC,10,38
2,0,0,A,0,DC,10,54
2,0,0,M,2,,10,34
2,0,0,M,2,,10,35
3,2100,0,M,2,,10,25
3,1830,0,V,0,,10,41
2,0,0,A,0,,10,43
2,0,0,A,2,DC,21,63
3,0,0,A,0,DV,21,41
3,0,0,M,2,,10,47
3,1766,0,M,2,,10,26
4,2012,1,C,2,,10,19
2,2956,1,E,2,,10,28
2,0,0,S,2,,10,32
3,0,0,A,0,,10,57
2,2193,0,M,2,,10,40
3,0,0,M,2,,10,35
2,0,0,M,2,,10,36
3,0,0,M,2,,10,13
2,1828,0,M,2,,10,31
4,1842,0,C,2,,10,36
2,0,0,A,0,,10,34
3,0,0,A,0,,10,58
2,0,0,A,0,DV,21,44
2,0,0,M,2,,10,27
2,1500,0,M,0,,10,29
2,0,0,M,2,,10,45
4,0,0,C,0,DV,10,28
3,5465,0,C,2,,10,30
2,0,0,A,0,,10,26
3,0,0,A,0,,10,32
2,0,0,A,0,,10,37
2,0,0,A,0,,10,54
3,0,0,M,2,,10,50
2,0,0,A,0,,10,51
2,0,0,A,0,DC,10,42
3,0,0,M,2,,10,38
3,0,0,D,0,DA,21,20
2,0,0,A,0,,10,37
3,0,0,M,2,,10,56
3,0,0,M,2,,10,29
3,0,0,A,0,RA,21,27
3,0,0,A,0,,10,40
3,0,0,A,0,,10,35
3,0,0,A,2,DC,10,36
3,0,3,M,2,,10,26
2,0,0,A,0,DV,21,24
2,0,0,A,0,,10,49
2,0,0,D,2,,10,32
3,0,0,A,0,,10,26
2,0,0,D,0,DV,21,40
3,0,0,M,2,,10,48
2,0,0,C,2,,10,23
2,0,0,A,0,,10,64
4,0,0,C,0,,10,20
2,0,0,M,0,,10,51
3,0,0,D,0,,10,39
2,2050,0,M,0,DC,21,29
2,0,0,A,0,,10,29
3,0,0,M,2,,10,35
2,1924,0,M,2,,10,42
3,0,0,M,2,,10,45
2,2880,1,U,2,,10,26
2,0,0,S,2,,10,32
3,0,0,A,0,,10,44
3,0,0,M,6,,10,31
3,0,0,A,0,,10,24
3,0,0,A,0,,10,37
3,1627,1,B,2,,10,26
3,0,0,C,2,,10,51
2,2600,2,M,2,DC,21,27
2,2950,2,M,2,,10,26
2,0,0,A,0,,10,36
2,2400,1,B,2,,10,36
3,0,0,A,0,DV,10,30
2,2474,2,G,2,,10,32
2,0,0,M,2,,10,46
3,2055,1,D,2,,10,25
2,0,0,M,2,,10,47
3,0,0,M,2,,10,36
2,0,0,M,0,DC,10,69
2,0,0,M,2,,10,38
2,2113,2,M,2,,10,28
3,0,0,V,0,DC,21,47
3,0,0,M,2,,10,41
2,0,0,M,2,,10,34
2,0,0,M,0,,10,45
2,4261,0,M,0,,10,45
2,0,0,M,2,,10,43
2,0,0,M,2,,10,25
3,2183,0,G,2,,10,27
2,0,0,M,2,,10,37
3,1010,0,M,2,,10,35
2,0,0,A,0,,10,44
2,0,0,A,0,DC,10,21
2,0,0,A,0,,10,25
2,0,0,A,0,,10,51
3,0,0,D,2,,10,36
3,0,0,A,0,,10,19
3,0,2,D,2,,10,23
3,0,0,M,2,,10,26
3,0,0,M,2,,10,43
3,0,0,C,2,,10,31
4,3581,0,C,2,,10,23
3,2430,0,M,2,,10,25
3,0,0,M,6,,10,35
3,0,0,A,0,,10,40
3,2030,0,M,2,,10,33
2,0,0,A,2,DC,10,45
3,0,0,D,0,DV,21,35
3,0,0,M,2,,10,33
3,0,0,D,2,,10,31
3,2617,1,D,2,,10,37
3,0,0,M,0,,25,35
4,0,0,C,0,,10,28
2,0,0,M,2,,10,38
2,0,0,D,2,,10,23
3,0,0,M,2,,10,33
2,2241,0,M,2,,10,40
2,0,0,M,0,,10,47
2,0,0,D,2,,10,31
4,0,0,C,0,DC,10,66
2,0,0,M,2,,10,33
3,0,0,M,6,,10,36
3,0,0,M,2,,10,45
2,0,0,M,2,,10,41
2,0,0,A,0,,10,31
3,0,0,A,0,,10,52
2,2400,0,V,2,,10,40
3,0,0,M,2,,10,25
3,2194,0,M,2,,10,35
2,0,0,M,2,,10,43
3,0,0,A,0,,10,33
3,2500,0,C,2,,10,39
3,0,0,A,0,,10,33
2,0,0,M,2,,10,50
3,0,0,A,0,DV,21,29
4,3779,0,C,2,,10,30
4,0,0,C,0,,10,23
3,1830,0,B,2,,10,39
3,0,0,A,0,,10,48
3,0,0,A,0,,10,44
2,0,0,A,0,DC,21,42
2,3000,0,M,2,,10,29
2,0,0,D,2,,10,20
3,0,0,A,0,,10,33
2,0,0,M,2,,10,31
3,0,0,C,2,,10,27
2,0,0,A,0,,10,28
3,0,0,A,0,DC,10,29
3,0,0,A,0,,10,41
4,0,0,C,0,,10,36
3,0,0,A,0,,10,44
2,0,0,A,0,,10,38
2,0,0,A,0,,10,37
2,0,0,M,2,,10,46
2,0,0,M,2,,10,43
2,0,0,A,0,,10,29
2,0,0,A,0,,10,29
3,0,0,M,2,,10,35
2,0,0,A,0,,10,39
2,0,0,A,0,,10,28
3,1793,0,M,2,DV,21,41
3,3168,0,D,2,,10,33
3,0,0,A,0,,10,40
3,0,0,A,0,,10,37
3,0,0,A,0,,10,34
4,0,0,C,0,,10,41
3,0,0,A,0,,10,38
2,0,0,A,0,,10,28
2,0,0,A,0,DC,21,37
2,0,0,A,0,,10,33
3,0,0,A,0,,10,35
2,3104,0,M,2,,10,32
3,0,0,A,0,,10,28
3,0,0,A,0,,10,50
2,0,0,A,0,,10,35
3,0,0,M,2,,10,48
3,2402,0,D,2,,10,31
2,0,0,A,0,,10,43
2,0,0,D,2,,10,28
3,0,0,M,0,DV,21,34
3,0,0,A,0,,10,33
2,2035,2,G,0,,10,28
2,0,0,B,0,,10,27
2,0,0,A,0,,10,61
3,8193,0,S,2,,10,34
2,1908,0,B,2,,10,37
4,0,0,C,0,DV,21,28
2,0,0,A,0,DV,21,50
3,0,0,A,0,,10,60
3,0,0,A,0,,10,25
2,0,0,A,0,,10,24
2,0,0,A,0,,10,20
4,0,0,C,0,,10,25
4,0,0,C,2,DC,10,33
2,0,0,A,0,,10,26
2,0,0,C,2,,10,29
3,0,0,A,0,,10,51
3,1000,0,A,0,,10,32
2,0,0,D,2,,10,30
4,0,0,C,0,,10,24
3,0,0,M,2,,10,54
2,3385,2,M,2,,10,27
2,0,0,A,0,DV,10,36
4,0,0,C,0,DC,10,44
3,0,0,A,0,DV,21,34
